Team,Conference,Formatted
AIC,Atlantic Hockey,american-international
Air Force,Atlantic Hockey,air-force
Alabama Huntsville,WCHA,alabama-huntsville
Alaska,WCHA,alaska
Alaska Anchorage,WCHA,alaska-anchorage
Arizona State,Division 1 Independents,arizona-state
Army West Point,Atlantic Hockey,army
Assumption,N/A,assumption
Augsburg,N/A,augsburg
Bemidji State,WCHA,bemidji-state
Bentley,Atlantic Hockey,bentley
Bethel,WCCHA,bethel
Boston College,Hockey East,boston-college
Boston University,Hockey East,boston-university
Bowling Green,WCHA,bowling-green
Brockport,N/A,brockport
Brown,ECAC Hockey,brown
Canisius,Atlantic Hockey,canisius
Clarkson,ECAC Hockey,clarkson
Colgate,ECAC Hockey,colgate
Colorado College,NCHC,colorado-college
Concordia MN,N/A,concordia-mn
Cornell,ECAC Hockey,cornell
Cortland,N/A,cortland
Dartmouth,ECAC Hockey,dartmouth
Denver,NCHC,denver
Fairfield,MAAC,fairfield
Ferris State,WCHA,ferris-state
Geneseo,N/A,geneseo
Harvard,ECAC Hockey,harvard
Hobart,N/A,hobart
Holy Cross,Atlantic Hockey,holy-cross
Iona,MAAC,iona
Lake Superior State,WCHA,lake-superior
Maine,Hockey East,maine
Massachusetts,Hockey East,massachusetts
Mercyhurst,Atlantic Hockey,mercyhurst
Merrimack,Hockey East,merrimack
Miami,NCHC,miami
Michigan,Big Ten,michigan
Michigan State,Big Ten,michigan-state
Michigan Tech,WCHA,michigan-tech
Minnesota,Big Ten,minnesota
Minnesota Crookston,N/A,minn-crookston
Minnesota Duluth,NCHC,minnesota-duluth
Minnesota State,WCHA,mankato-state
New Hampshire,Hockey East,new-hampshire
Niagara,Atlantic Hockey,niagara
Nichols,N/A,nichols
North Dakota,NCHC,north-dakota
Northeastern,Hockey East,northeastern
Northern Michigan,WCHA,northern-michigan
Notre Dame,Big Ten,notre-dame
Ohio State,Big Ten,ohio-state
Omaha,NCHC,nebraska-omaha
Penn State,Big Ten,penn-state
Princeton,ECAC Hockey,princeton
Providence,Hockey East,providence
Quinnipiac,ECAC Hockey,quinnipiac-college
Rensselaer,ECAC Hockey,rensselaer
RIT,Atlantic Hockey,rit
Robert Morris,Atlantic Hockey,robert-morris
Sacred Heart,Atlantic Hockey,sacred-heart
Scranton,N/A,scranton
St. Cloud State,NCHC,st-cloud-state
St. Lawrence,ECAC Hockey,st-lawrence
St. Mary's,N/A,st-marys
St. Michael's,N/A,st-michaels
UConn,Hockey East,connecticut
UMass Lowell,Hockey East,umass-lowell
Union,ECAC Hockey,union
Vermont,Hockey East,vermont
Western Michigan,NCHC,western-michigan
Wisconsin,Big Ten,wisconsin
Wisconsin-Stout,WIAC,wisconsin-stout
Yale,ECAC Hockey,yale